screen_time_hours,bedtime_hour,age,app_type_most_used,stress_level
6.99,20.0,22.0,Entertainment,Moderate
5.72,20.0,,Gaming,Low
7.3,20.0,25.0,Educational,Low
9.05,23.0,20.0,Social,Moderate
5.53,,18.0,,Moderate
5.53,22.0,30.0,Educational,High
9.16,24.0,24.0,Gaming,Low
7.53,22.0,30.0,Educational,Moderate
5.06,20.0,22.0,Educational,High
7.09,22.0,22.0,Gaming,High
5.07,20.0,24.0,Entertainment,Moderate
5.07,23.0,18.0,Entertainment,Moderate
6.48,22.0,25.0,Social,Moderate
2.17,23.0,29.0,Social,High
2.55,23.0,27.0,Entertainment,Low
4.88,21.0,22.0,Utility,High
3.97,20.0,25.0,Educational,Moderate
6.63,24.0,27.0,Utility,Moderate
4.18,20.0,27.0,Educational,Low
3.18,24.0,22.0,Entertainment,
8.93,20.0,29.0,Social,Moderate
,23.0,24.0,Social,Low
6.14,22.0,27.0,Utility,Moderate
3.15,22.0,20.0,Social,High
4.91,21.0,19.0,Entertainment,Moderate
6.22,24.0,23.0,Utility,Moderate
3.7,,22.0,Educational,Low
6.75,24.0,26.0,Social,Moderate
4.8,23.0,,Gaming,Low
5.42,24.0,21.0,Social,
,22.0,28.0,Educational,High
9.7,23.0,20.0,Utility,Moderate
5.97,20.0,26.0,Educational,Low
3.88,24.0,25.0,Gaming,Moderate
7.65,24.0,23.0,Entertainment,Moderate
3.56,20.0,18.0,,Moderate
6.42,24.0,27.0,Utility,High
2.08,20.0,30.0,Entertainment,High
3.34,23.0,,Educational,Moderate
6.39,,28.0,,Moderate
7.48,20.0,18.0,Entertainment,Low
6.34,21.0,29.0,Utility,Low
5.77,20.0,23.0,Gaming,
5.4,24.0,30.0,Gaming,Moderate
3.04,23.0,20.0,Social,
4.56,23.0,20.0,Social,
5.08,20.0,23.0,Gaming,Low
8.11,22.0,30.0,Utility,Moderate
6.69,21.0,20.0,Gaming,Low
2.47,23.0,30.0,Social,Low
6.65,24.0,28.0,Gaming,High
5.23,24.0,27.0,Gaming,Low
,22.0,23.0,Utility,Moderate
7.22,23.0,,Entertainment,Low
8.06,,21.0,Social,High
7.86,24.0,25.0,Utility,Moderate
4.32,22.0,19.0,Gaming,Low
5.38,23.0,29.0,Gaming,Moderate
6.66,23.0,28.0,Entertainment,Moderate
,23.0,24.0,Social,High
5.04,23.0,21.0,Social,Low
5.63,23.0,19.0,Educational,High
3.79,24.0,24.0,Social,High
,22.0,30.0,Entertainment,High
7.63,23.0,18.0,Educational,Moderate
8.71,21.0,21.0,Educational,Moderate
5.86,,26.0,Gaming,Moderate
8.01,,21.0,Gaming,Moderate
6.72,20.0,29.0,Social,Moderate
4.71,20.0,30.0,Educational,Moderate
6.72,20.0,20.0,Gaming,Moderate
9.08,21.0,27.0,Entertainment,Moderate
5.93,20.0,27.0,Gaming,High
9.13,24.0,19.0,Gaming,Low
0.76,23.0,,,High
7.64,21.0,18.0,Educational,Moderate
6.17,22.0,27.0,Utility,High
5.4,22.0,25.0,Entertainment,Moderate
6.18,23.0,18.0,Educational,Moderate
2.02,21.0,20.0,Social,High
5.56,20.0,20.0,Entertainment,Low
6.71,20.0,30.0,Entertainment,High
8.96,24.0,19.0,Educational,Moderate
4.96,24.0,22.0,Entertainment,Moderate
4.38,20.0,27.0,Educational,Moderate
5.0,22.0,20.0,Gaming,Moderate
7.83,22.0,20.0,Utility,Moderate
